Количество собственников,Санузел,Класс энергоэффективности,Газ,Тип перекрытий,Ремонт,Цена,Перепланировка,Мусоропровод,Количество балконов,Площадь,Количество лифтов,Вид из окон,Этаж,Высота потолков,Год постройки,Балкон,Несовершеннолетние собственники,Количество подъездов,Детская площадка,Цена за квадрат,Количество этажей,Жилая,Лифт,Тип фундамента,Кухня,Ссылка,Комнат,Лет в собственности,Тип сделки,Прописано,Материал стен,Грузовой лифт,Количество квартир,Горячее водоснабжение,Серия дома,Прописанные несовершеннолетние
1,Совмещенный,,нет,Железобетонный,Без ремонта,2070000₽,нет,,1,21 м2,,во двор,15,,2019,,нет,,,98571₽/м²,18,11 м2,есть,,3 м2,https://domclick.ru/card/sale__flat__2059470080,,Меньше трех,Свободная продажа,,Панельный,нет,305,,,нет
,,,,Железобетонный,,2570000₽,,,1,"30,2 м2",1,,3,,1977,,,,,85099₽/м²,9,19 м2,есть,,7 м2,https://domclick.ru/card/sale__flat__2058080598,1,,Альтернатива,,Панельный,,,,121,
1,Совмещенный,,нет,Железобетонный,Без ремонта,1930000₽,нет,,1,22 м2,2,во двор,6,,2024,,нет,,,87727₽/м²,17,"11,6 м2",,,,https://domclick.ru/card/sale__flat__2059109838,,Меньше трех,Свободная продажа,,Панельный,нет,,Центральное,,нет
,,,нет,,,4980000₽,,,,"40,3 м2",2,,7,,2014,нет,,,,123573₽/м²,12,"15,5 м2",есть,,"13,3 м2",https://domclick.ru/card/sale__flat__2057373856,1,,Свободная продажа,,Кирпичный,есть,261,,01-пз индивидуальный проект,
,,,есть,Железобетонный,,4200000₽,,,,59 м2,,на улицу,2,,1974,нет,,,,71186₽/м²,5,40 м2,,Иной,15 м2,https://domclick.ru/card/sale__flat__2059307010,3,,Свободная продажа,,Кирпичный,,,,а-литер,
,,,,Железобетонный,Евро,5350000₽,,,1,62 м2,,,12,,2024,,,,,86290₽/м²,17,,,,"12,6 м2",https://domclick.ru/card/sale__flat__1909630698,2,,,,Панельный,,,Центральное,,
,,,есть,,Дизайнерский,3990000₽,,,1,47 м2,1,на улицу,3,,1978,,,,,84893₽/м²,10,,есть,,9 м2,https://domclick.ru/card/sale__flat__2057381292,2,,Свободная продажа,,Кирпичный,,128,,1-447,
,,,есть,Железобетонный,,2250000₽,,,,"34,2 м2",,,2,,1979,нет,,,,65789₽/м²,5,25 м2,,Бетонные столбы,,https://domclick.ru/card/sale__flat__2058695385,1,,Свободная продажа,,Панельный,нет,,,1-480,
1,Совмещенный,,нет,Железобетонный,Дизайнерский,6500000₽,,,1,60 м2,2,во двор,10,,2024,,,,,108333₽/м²,17,40 м2,,,12 м2,https://domclick.ru/card/sale__flat__2058905405,3,Меньше трех,Свободная продажа,,Панельный,есть,,Центральное,,
,,,,Железобетонный,,3300000₽,,,,"45,1 м2",1,на улицу,4,,1984,нет,,,,73170₽/м²,9,"22,8 м2",есть,,"10,4 м2",https://domclick.ru/card/sale__flat__2056904710,2,,Свободная продажа,,Кирпичный,,,,v-кирпичный,
,,,,Железобетонный,,6500000₽,,,1,62 м2,,,10,,2024,,,,,104838₽/м²,17,,,,17 м2,https://domclick.ru/card/sale__flat__2058886875,2,,Свободная продажа,,Панельный,,,Центральное,,
1,Раздельный,,есть,Железобетонный,Косметический,4600000₽,нет,есть,1,"65,8 м2",1,во двор,5,,1978,,нет,,,69908₽/м²,9,55 м2,есть,,,https://domclick.ru/card/sale__flat__2058201626,3,Больше пяти,Свободная продажа,,Панельный,нет,,,121,нет
,,,,Железобетонный,,2699000₽,,,,"35,3 м2",,во двор,4,2.8,1977,нет,,,,76458₽/м²,9,"17,7 м2",есть,,"11,9 м2",https://domclick.ru/card/sale__flat__2058854768,1,,Свободная продажа,,Кирпичный,,,,v-кирпичный,
,,,,Железобетонный,Требует ремонта,3208305₽,,,2,"40,4 м2",1,во двор,16,2.7,2023,,,,,79413₽/м²,17,"15,1 м2",,,"10,4 м2",https://domclick.ru/card/sale__flat__2059268131,1,,Переуступка,,Панельный,,102,Центральное,,
,,,есть,,Косметический ремонт,4400000₽,,есть,1,"65,5 м2",1,,9,,1975,,,,,67175₽/м²,9,"42,7 м2",,,"7,4 м2",https://domclick.ru/card/sale__flat__2056656779,3,,Свободная продажа,,Панельный,,,,,
,,,есть,Железобетонный,косметический,4350000₽,,,1,"63,5 м2",1,,9,2.8,1981,,,,,68503₽/м²,10,39 м2,есть,,8 м2,https://domclick.ru/card/sale__flat__1816706699,3,,Свободная продажа,,Панельный,,,,121,
,,,есть,Железобетонный,косметический,3600000₽,,есть,,56 м2,1,"во двор, на улицу",4,,1980,нет,,,,64285₽/м²,9,30 м2,есть,,8 м2,https://domclick.ru/card/sale__flat__2059223439,2,,Свободная продажа,,Панельный,,,,111-90 (90),
,Раздельный,,нет,,Евро,10000000₽,нет,,3,"111,3 м2",1,,13,2.7,2014,,нет,,,89847₽/м²,13,70 м2,есть,,,https://domclick.ru/card/sale__flat__2059532919,4,,Свободная продажа,,Кирпичный,нет,188,,01-пз индивидуальный проект,нет
,Совмещенный,,есть,Железобетонный,Косметический,3270000₽,нет,,,"30,5 м2",,во двор,1,,1975,нет,нет,,,107213₽/м²,5,15 м2,,Ленточный,6 м2,https://domclick.ru/card/sale__flat__2059189065,1,,Свободная продажа,,Панельный,нет,,,1-464А,нет
,Раздельный,,нет,,Без ремонта,6390000₽,нет,,1,"64,6 м2",2,,8,2.7,2024,,нет,,,98916₽/м²,17,55 м2,,,,https://domclick.ru/card/sale__flat__2059557421,2,,Свободная продажа,,Монолитный,нет,,,,нет
,,,нет,,,5300000₽,,,,"54,5 м2",1,,6,,2016,нет,,,,97247₽/м²,19,32 м2,есть,,10 м2,https://domclick.ru/card/sale__flat__2058008906,2,,Свободная продажа,,Панельный,нет,469,,1-панельный,
,,,нет,Железобетонный,Евро,3550000₽,,,1,"38,5 м2",1,во двор,12,,2015,,,,,92207₽/м²,17,20 м2,есть,Сплошной,10 м2,https://domclick.ru/card/sale__flat__2059145696,1,,Свободная продажа,,Монолитный,,,,,
,Раздельный,,нет,,Евро,6400000₽,нет,,2,"72,4 м2",,во двор,9,2.7,2021,,нет,,,88397₽/м²,17,45 м2,,,12 м2,https://domclick.ru/card/sale__flat__2059577565,3,,Свободная продажа,,Панельный,нет,,,,нет
,Совмещенный,,нет,Железобетонный,Без ремонта,3198000₽,нет,,1,40 м2,,,8,,2021,,нет,,,79950₽/м²,17,20 м2,есть,,,https://domclick.ru/card/sale__flat__2056463417,2,,Свободная продажа,,Панельный,нет,135,,,нет
,,,,Железобетонный,,1900000₽,,,,"28,3 м2",2,во двор,3,,1975,нет,,,,67137₽/м²,9,17 м2,есть,Бетонные столбы,6 м2,https://domclick.ru/card/sale__flat__2058811161,2,,Свободная продажа,,Кирпичный,,,,,
2,Раздельный,,нет,,Косметический,1750000₽,нет,,,40 м2,1,во двор,5,,1985,нет,нет,,,43750₽/м²,9,30 м2,есть,,5 м2,https://domclick.ru/card/sale__flat__2057567839,2,Больше пяти,Свободная продажа,,Кирпичный,нет,264,,1-447,нет
,,,,Железобетонный,,3500000₽,,,1,38 м2,1,на улицу,3,2.8,2023,,,,,92105₽/м²,17,15 м2,,,9 м2,https://domclick.ru/card/sale__flat__2056413829,1,,Свободная продажа,,Панельный,,132,Центральное,,
,,D,есть,Железобетонный,Требует ремонта,2690000₽,,,,48 м2,,"во двор, на улицу",1,,1973,нет,,,,56041₽/м²,5,32 м2,,Иной,6 м2,https://domclick.ru/card/sale__flat__2003409380,2,,Свободная продажа,,Панельный,,,,,
1,Раздельный,,нет,Железобетонный,Дизайнерский,7200000₽,нет,,2,73 м2,,во двор,15,2.7,2023,,нет,,,98630₽/м²,17,50 м2,,,12 м2,https://domclick.ru/card/sale__flat__2056767361,3,,Свободная продажа,,Панельный,нет,102,Центральное,,нет
3,Раздельный,,есть,Железобетонный,Косметический,3000000₽,нет,,1,48 м2,,"во двор, на улицу",4,2.7,1972,,нет,,,62500₽/м²,5,32 м2,,,"5,5 м2",https://domclick.ru/card/sale__flat__2059321178,2,,Свободная продажа,,Панельный,нет,90,,1-464А,нет
,Раздельный,,нет,Железобетонный,Евро,5480000₽,,,1,"65,6 м2",3,на улицу,12,,2006,,,,,83536₽/м²,12,,есть,,12 м2,https://domclick.ru/card/sale__flat__2059536253,2,,Свободная продажа,,Кирпичный,есть,,,9323.3.00-32,
,Совмещенный,,нет,Железобетонный,Без ремонта,1985000₽,нет,,1,24 м2,3,"во двор, на парк",9,,2023,,нет,,,82708₽/м²,17,13 м2,,,,https://domclick.ru/card/sale__flat__2055960453,,Меньше трех,Переуступка,,Панельный,есть,102,Центральное,,нет
,,,,,,4190000₽,,,,"46,6 м2",,во двор,1,,2015,нет,,,,89914₽/м²,19,17 м2,есть,,11 м2,https://domclick.ru/card/sale__flat__2058671468,1,,Свободная продажа,,Панельный,,720,,744.0.01 панельный,
,,,,,,3799000₽,,,1,"37,5 м2",1,во двор,8,2.8,,,,,,101306₽/м²,17,"26,5 м2",,,11 м2,https://domclick.ru/card/sale__flat__2059210355,1,,Свободная продажа,,Панельный,,,,,
,Совмещенный,,нет,Железобетонный,Без ремонта,3300000₽,нет,,1,41 м2,2,во двор,12,2.7,2024,,нет,,,80487₽/м²,17,13 м2,,,13 м2,https://domclick.ru/card/sale__flat__2059294591,2,Меньше трех,Свободная продажа,,Панельный,нет,,Центральное,,нет
,,,нет,Железобетонный,,3750000₽,,,,40 м2,,,14,,2015,нет,,,,93750₽/м²,17,28 м2,есть,Сплошной,12 м2,https://domclick.ru/card/sale__flat__2059545425,1,,Свободная продажа,,Монолитный,нет,,,,
,,,,Железобетонный,,4574000₽,,,1,59 м2,,,16,,2023,,,,,77525₽/м²,17,39 м2,,,14 м2,https://domclick.ru/card/sale__flat__2058908437,2,,Свободная продажа,,Панельный,,204,Центральное,,
,,,есть,Железобетонный,Требует ремонта,5622720₽,,,,"58,6 м2",1,во двор,2,,1977,нет,,,,96000₽/м²,9,"27,7 м2",есть,,"9,7 м2",https://domclick.ru/card/sale__flat__2058456500,2,,Свободная продажа,,Панельный,,,,121,
,,,,Железобетонный,евроремонт,3500000₽,,,1,37 м2,1,на улицу,12,,2017,,,,,94594₽/м²,19,19 м2,есть,,11 м2,https://domclick.ru/card/sale__flat__2056970939,1,,Свободная продажа,,Панельный,,,,1-панельный,
1,Совмещенный,,есть,Железобетонный,Косметический,3000000₽,нет,есть,1,"37,1 м2",1,во двор,6,2.7,1985,,нет,,,80862₽/м²,9,"18,9 м2",есть,,"9,3 м2",https://domclick.ru/card/sale__flat__2057808184,1,От трех до пяти,Свободная продажа,,Панельный,нет,,,111-90 (90),нет
,,,,,Евро,3420000₽,,,1,"36,6 м2",,,8,,,,,,,93442₽/м²,17,,,,"11,5 м2",https://domclick.ru/card/sale__flat__2049787594,1,,,,Панельный,,,,,
,,,есть,Железобетонный,Хороший,3350000₽,,,1,"37,3 м2",,во двор,3,,1988,,,,,89812₽/м²,9,18 м2,есть,,12 м2,https://domclick.ru/card/sale__flat__2059473522,1,,Свободная продажа,,Панельный,,,,97 (111-97),
,,,,Железобетонный,,5330000₽,,,1,"63,7 м2",,во двор,9,,2019,,,,,83673₽/м²,17,47 м2,есть,,"16,7 м2",https://domclick.ru/card/sale__flat__2058511413,3,,Свободная продажа,,Панельный,,481,,,
2,Совмещенный,,нет,Железобетонный,Евро,3550000₽,нет,,1,"40,2 м2",2,"во двор, на парк",4,2.7,2021,,нет,,,88308₽/м²,18,20 м2,есть,,"15,6 м2",https://domclick.ru/card/sale__flat__2059294203,1,Меньше трех,Альтернатива,2,Панельный,нет,,Центральное,,нет
,,,есть,Железобетонный,,3900000₽,,,1,50 м2,,,9,,1980,,,,,78000₽/м²,9,30 м2,есть,,"7,7 м2",https://domclick.ru/card/sale__flat__2058806395,2,,Свободная продажа,,Панельный,,,Центральное,,
,Раздельный,,есть,Железобетонный,Косметический,4550000₽,нет,,,"65,9 м2",1,,5,,1982,нет,нет,,,69044₽/м²,9,36 м2,есть,,,https://domclick.ru/card/sale__flat__2059171463,3,,Свободная продажа,,Панельный,нет,,,121,нет
,,,есть,Железобетонный,Хороший,4190000₽,,,1,38 м2,1,на улицу,2,,2005,,,,,110263₽/м²,9,20 м2,есть,,12 м2,https://domclick.ru/card/sale__flat__2057773909,1,,Свободная продажа,,Кирпичный,,,,01-пз индивидуальный проект,
,Раздельный,,есть,Железобетонный,Косметический,4650000₽,,,1,60 м2,,,4,,1971,,,,,77500₽/м²,5,,,Ленточный,,https://domclick.ru/card/sale__flat__2059557967,4,,Свободная продажа,,Панельный,нет,,,1-464А,
,,,,,Требует ремонта,2794875₽,,,1,"38,5 м2",1,,12,2.7,2026,,,,,72500₽/м²,16,,,,10 м2,https://domclick.ru/card/sale__flat__2057059991,1,,Переуступка,,Панельный,,,,,
,,,,,Требует ремонта,5922640₽,,,,"58,6 м2",1,во двор,4,3,,нет,,,,101000₽/м²,15,30 м2,,,"20,6 м2",https://domclick.ru/card/sale__flat__2058251975,3,,Свободная продажа,,Кирпичный,,,,,
,,,есть,Железобетонный,,5000000₽,,,,"32,8 м2",1,,6,,1983,нет,,,,152439₽/м²,9,"32,8 м2",есть,,,https://domclick.ru/card/sale__flat__2058905331,1,,Свободная продажа,,Панельный,нет,,,121,
1,Совмещенный,,нет,,Евро,3600000₽,нет,,1,"36,5 м2",3,"во двор, на улицу",9,2.7,2021,,нет,,,98630₽/м²,17,"18,8 м2",,,"10,3 м2",https://domclick.ru/card/sale__flat__2056080715,1,,Свободная продажа,,Панельный,есть,,,,нет
,,,,,,7500000₽,,,1,"74,8 м2",,,12,,,,,,,100267₽/м²,17,45 м2,,,"10,8 м2",https://domclick.ru/card/sale__flat__2059284966,3,,Свободная продажа,,Панельный,,,,,
,,,,Железобетонный,,3350000₽,,,1,40 м2,,,7,,2023,,,,,83750₽/м²,20,"21,4 м2",,,"9,8 м2",https://domclick.ru/card/sale__flat__2056537037,1,,Свободная продажа,,Монолитный,,,,,
1,Раздельный,,есть,Железобетонный,Косметический,4420000₽,нет,есть,1,66 м2,1,во двор,8,2.7,1980,,нет,,,66969₽/м²,2,48 м2,есть,,12 м2,https://domclick.ru/card/sale__flat__2059491873,3,Больше пяти,Свободная продажа,,Панельный,нет,,,111-90 (90),нет
,,,,Железобетонный,евроремонт,5990000₽,,,,60 м2,1,во двор,17,2.8,2018,нет,,,,99833₽/м²,17,40 м2,есть,,10 м2,https://domclick.ru/card/sale__flat__2058359466,2,,Свободная продажа,,Монолитный,,,Центральное,,
1,Совмещенный,,нет,Железобетонный,Дизайнерский,5190000₽,,,1,40 м2,3,"во двор, на улицу",9,2.7,2023,,,,,129750₽/м²,17,20 м2,,,15 м2,https://domclick.ru/card/sale__flat__2059577932,2,Больше пяти,Свободная продажа,1,Панельный,есть,102,Центральное,,
,Совмещенный,,нет,Железобетонный,Косметический,3000000₽,,,1,"33,8 м2",1,во двор,3,,2016,,,,,88757₽/м²,11,,есть,,9 м2,https://domclick.ru/card/sale__flat__2059312505,1,,Альтернатива,,Панельный,нет,117,,,
,,,есть,Железобетонный,косметический,3200000₽,,есть,1,"43,7 м2",,на улицу,3,,1975,,,,,73226₽/м²,5,"27,8 м2",,Ленточный,"7,2 м2",https://domclick.ru/card/sale__flat__1832673417,2,,Свободная продажа,,Панельный,,,,111-90 (90),
,,,,,Евро,3200000₽,,,1,"29,9 м2",1,,13,,2019,,,,,107023₽/м²,19,,,,9 м2,https://domclick.ru/card/sale__flat__1800074004,1,,,,Панельный,есть,,,,
1,Совмещенный,,есть,Железобетонный,Косметический,2450000₽,,,1,"28,5 м2",1,во двор,2,2.5,1994,,,,,85964₽/м²,9,14 м2,есть,Ленточный,7 м2,https://domclick.ru/card/sale__flat__2059200710,1,От трех до пяти,Свободная продажа,1,Панельный,нет,,,,
,,,есть,Железобетонный,,5600000₽,,есть,1,66 м2,1,,9,,1981,,,,,84848₽/м²,9,45 м2,есть,,10 м2,https://domclick.ru/card/sale__flat__2059334998,3,,Свободная продажа,,Панельный,,,,111-90 (90),
1,Совмещенный,,нет,Железобетонный,Евро,3880000₽,нет,,1,"36,2 м2",,во двор,10,2.7,2024,,нет,,,107182₽/м²,17,14 м2,,,10 м2,https://domclick.ru/card/sale__flat__2058603819,1,Меньше трех,Свободная продажа,,Панельный,нет,,Центральное,,нет
,,,,Железобетонный,,3650000₽,,,,"36,1 м2",,во двор,3,,2017,нет,,,,101108₽/м²,19,"17,6 м2",есть,,"11,6 м2",https://domclick.ru/card/sale__flat__2058897057,1,,Свободная продажа,,Панельный,,,,1-панельный,
,,,,,Требует ремонта,7500000₽,,,,85 м2,1,во двор,6,,2025,нет,,,,88235₽/м²,21,42 м2,,,14 м2,https://domclick.ru/card/sale__flat__2058480300,3,,Свободная продажа,,Кирпично-монолитный,,,,,
,Совмещенный,,нет,,Косметический,5999000₽,нет,,1,"66,5 м2",2,"во двор, на водоем, на парк, на улицу, на лес",7,,2009,,нет,,,90210₽/м²,13,58 м2,есть,,,https://domclick.ru/card/sale__flat__2058601102,2,Больше пяти,Свободная продажа,,Кирпичный,есть,191,,II-01,нет
,,,есть,Железобетонный,,5400000₽,,,,"65,3 м2",,,9,,1995,нет,,,,82695₽/м²,10,,есть,Бетонные столбы,,https://domclick.ru/card/sale__flat__2059516365,3,,Свободная продажа,,Панельный,нет,,,,
,,,,,евроремонт,3600000₽,,,2,36 м2,1,во двор,5,,2023,,,,,100000₽/м²,17,16 м2,,,10 м2,https://domclick.ru/card/sale__flat__2059155440,1,,Свободная продажа,,Панельный,,,,,
,Раздельный,,нет,Железобетонный,Без ремонта,5670000₽,нет,,1,"79,8 м2",,,7,2.7,2023,,нет,,,71052₽/м²,17,65 м2,,,12 м2,https://domclick.ru/card/sale__flat__2059117457,3,,Свободная продажа,,Панельный,нет,102,Центральное,,нет
,,,,Железобетонный,Требует ремонта,2876310₽,,,,"34,9 м2",1,"во двор, на улицу",11,,2023,нет,,,,82439₽/м²,17,"16,3 м2",,,"9,7 м2",https://domclick.ru/card/sale__flat__2058460120,1,,Свободная продажа,,Панельный,,102,Центральное,,
,Совмещенный,,нет,Железобетонный,Косметический,1450000₽,,,,"17,9 м2",,во двор,1,,1972,нет,,,,81005₽/м²,5,"12,8 м2",,,"3,2 м2",https://domclick.ru/card/sale__flat__2059171212,1,,Свободная продажа,,Кирпичный,нет,151,,v-кирпичный,
1,Совмещенный,,нет,Железобетонный,Косметический,4490000₽,нет,,1,"37,7 м2",1,"во двор, на парк, на лес",6,2.7,2020,,нет,,,119098₽/м²,19,27 м2,есть,,,https://domclick.ru/card/sale__flat__2059094557,1,Меньше трех,Свободная продажа,,Панельный,есть,373,,,нет
,Совмещенный,,нет,Железобетонный,Косметический,6700000₽,нет,,1,62 м2,,во двор,13,,2013,,нет,,,108064₽/м²,16,48 м2,есть,,14 м2,https://domclick.ru/card/sale__flat__2058132085,2,,Свободная продажа,,Кирпичный,нет,,,01-пз индивидуальный проект,нет
,,,есть,Железобетонный,Требует ремонта,3350000₽,,есть,1,59 м2,,во двор,2,,1975,,,,,56779₽/м²,5,38 м2,,Сборный,6 м2,https://domclick.ru/card/sale__flat__2058158493,3,,,,Кирпичный,,,,1-464,
,,,,,,4200000₽,,,1,"39,6 м2",1,во двор,10,2.7,,,,,,106060₽/м²,17,20 м2,,,10 м2,https://domclick.ru/card/sale__flat__2059248684,1,,Свободная продажа,,Панельный,,,,,
,Раздельный,,есть,Железобетонный,Дизайнерский,4550000₽,,,1,52 м2,,"во двор, на улицу",4,2.7,1979,,,,,87500₽/м²,5,30 м2,,Ленточный,8 м2,https://domclick.ru/card/sale__flat__2058962824,2,,Свободная продажа,,Панельный,нет,,,111-90 (90),
1,Раздельный,,есть,Железобетонный,Дизайнерский,4780000₽,,,1,"53,7 м2",1,"во двор, на парк, на водоем, на лес, на улицу",5,2.7,1989,,,,,89013₽/м²,9,34 м2,есть,,10 м2,https://domclick.ru/card/sale__flat__2059312650,2,Меньше трех,Свободная продажа,,Панельный,нет,,,97 (111-97),
,Раздельный,,есть,Железобетонный,Косметический,2850000₽,,,1,33 м2,1,,8,2.5,1978,,,,есть,86363₽/м²,9,17 м2,,,"7,5 м2",https://domclick.ru/card/sale__flat__2058320182,1,,Свободная продажа,,Панельный,нет,,Центральное,,
3,Раздельный,,нет,Железобетонный,Косметический,6450000₽,нет,,1,"74,1 м2",2,"во двор, на улицу, на парк",10,2.7,2016,,нет,,,87044₽/м²,19,"43,1 м2",есть,,"11,5 м2",https://domclick.ru/card/sale__flat__2057601793,3,Больше пяти,Свободная продажа,,Панельный,нет,,,1-панельный,нет
,,,есть,Железобетонный,,1080000₽,,,,18 м2,1,,8,,1980,нет,,,,60000₽/м²,9,,есть,,5 м2,https://domclick.ru/card/sale__flat__2057697274,1,,Свободная продажа,,Кирпичный,,,,v-кирпичный,
,,,нет,Железобетонный,,6000000₽,,есть,,"68,1 м2",1,,11,,2008,нет,,,,88105₽/м²,12,50 м2,есть,,12 м2,https://domclick.ru/card/sale__flat__1816456994,2,,Свободная продажа,,Кирпичный,нет,,,01-пз индивидуальный проект,
,,,есть,Железобетонный,косметический,3990000₽,,,1,49 м2,1,во двор,8,,1982,,,,,81428₽/м²,9,29 м2,есть,Бетонные столбы,8 м2,https://domclick.ru/card/sale__flat__2056966827,2,,Свободная продажа,,Панельный,,,,,
,,,,Железобетонный,Косметический,2950000₽,,,1,33 м2,,,11,,2019,,,,,89393₽/м²,17,,,,10 м2,https://domclick.ru/card/sale__flat__1916570621,1,,,,Панельный,,458,Центральное,,
,Совмещенный,,есть,Железобетонный,Косметический,2450000₽,нет,,1,"28,4 м2",1,,6,,1994,,нет,,,86267₽/м²,9,16 м2,есть,Ленточный,8 м2,https://domclick.ru/card/sale__flat__2058718970,1,Меньше трех,Свободная продажа,,Панельный,нет,,,,нет
,,,есть,Железобетонный,,5600000₽,,,2,"87,9 м2",1,на улицу,4,2.7,1998,,,,,63708₽/м²,9,"54,5 м2",есть,Бетонные столбы,"7,5 м2",https://domclick.ru/card/sale__flat__2059307003,4,,Свободная продажа,,Панельный,,,,,
1,Совмещенный,,нет,Железобетонный,Дизайнерский,3770000₽,нет,,1,40 м2,3,во двор,2,,2023,,нет,,,94250₽/м²,17,"19,3 м2",,,"10,6 м2",https://domclick.ru/card/sale__flat__2057915012,1,,Свободная продажа,,Панельный,есть,132,Центральное,,нет
1,Раздельный,,есть,Железобетонный,Дизайнерский,5600000₽,нет,,2,95 м2,,во двор,10,,2003,,нет,,,58947₽/м²,14,,есть,,,https://domclick.ru/card/sale__flat__2058805452,3,Меньше трех,Свободная продажа,,Монолитный,нет,,,а монолитный,нет
,,,,Железобетонный,Отсутствует,2080800₽,,,,"33,3 м2",,,3,,1988,нет,,,,62486₽/м²,9,,есть,Бетонные столбы,5 м2,https://domclick.ru/card/sale__flat__2057341085,1,,Альтернатива,,Кирпичный,,,,,
,,,,,,10000000₽,,,Больше 3-х,"179,1 м2",2,на улицу,12,2.8,2009,,,,,55834₽/м²,13,86 м2,есть,,"13,2 м2",https://domclick.ru/card/sale__flat__2059307000,5,,Свободная продажа,,Кирпичный,есть,191,,II-01,
,Раздельный,,есть,Железобетонный,Дизайнерский,5700000₽,нет,,2,95 м2,,во двор,10,,2003,,нет,,,60000₽/м²,14,"61,6 м2",есть,,"16,2 м2",https://domclick.ru/card/sale__flat__2058805791,3,,Свободная продажа,,Монолитный,нет,,,а монолитный,нет
,,,,,Дизайнерский,3800000₽,,есть,1,"36,5 м2",1,на улицу,7,2.7,2022,,,,,104109₽/м²,17,20 м2,,,10 м2,https://domclick.ru/card/sale__flat__1950146995,1,,Свободная продажа,,Панельный,,,,,
1,Раздельный,,есть,Железобетонный,Косметический,2970000₽,нет,,1,"52,4 м2",1,,4,,1986,,нет,,,56679₽/м²,9,34 м2,есть,,"8,3 м2",https://domclick.ru/card/sale__flat__2056623098,2,,Свободная продажа,,Панельный,нет,,,1-панельный,нет
,,,,,,3950000₽,,,1,"38,5 м2",1,во двор,3,,2020,,,,,102597₽/м²,17,10 м2,,,19 м2,https://domclick.ru/card/sale__flat__2057643803,1,,Свободная продажа,,Панельный,,,,,
,,,,Железобетонный,,3100000₽,,,1,37 м2,,,8,,2016,,,,,83783₽/м²,19,18 м2,есть,,10 м2,https://domclick.ru/card/sale__flat__2058733297,1,,Свободная продажа,,Панельный,,,,1-панельный,
,,,,Железобетонный,Требует ремонта,4325200₽,,,,"60,1 м2",1,во двор,14,2.7,2024,нет,,,,72002₽/м²,17,48 м2,,,"12,1 м2",https://domclick.ru/card/sale__flat__2058251983,2,,,,Панельный,,,Центральное,,
1,Совмещенный,,есть,Железобетонный,Евро,3350000₽,нет,,,"30,3 м2",,во двор,4,,1975,нет,нет,,,110561₽/м²,5,16 м2,,Ленточный,6 м2,https://domclick.ru/card/sale__flat__2059189512,1,Больше пяти,Свободная продажа,2,Панельный,нет,,,1-464А,нет
,,,,,,7413030₽,,,,"79,7 м2",1,во двор,6,,2024,нет,,,,93000₽/м²,17,"45,6 м2",,,"30,3 м2",https://domclick.ru/card/sale__flat__2058700761,3,,Свободная продажа,,Кирпично-монолитный,,,,,
,,,,,Требует ремонта,5915570₽,,,,"58,6 м2",1,во двор,4,2.8,2025,нет,,,,101000₽/м²,17,"43,1 м2",,,10 м2,https://domclick.ru/card/sale__flat__2059437991,3,,Переуступка,,Кирпично-монолитный,,,,,
1,Раздельный,,нет,Железобетонный,Евро,6990000₽,нет,,1,73 м2,3,во двор,4,2.7,2008,,нет,,,95753₽/м²,17,40 м2,есть,,10 м2,https://domclick.ru/card/sale__flat__2057762213,2,Больше пяти,Свободная продажа,,Кирпичный,есть,,,II-01,нет
,Совмещенный,,нет,,Без ремонта,8340000₽,нет,,1,"87,3 м2",,,6,2.7,2024,,нет,,,95532₽/м²,18,55 м2,,,"10,6 м2",https://domclick.ru/card/sale__flat__1950226080,2,,Свободная продажа,,Монолитный,нет,,,,нет
,,,нет,,косметический,5900000₽,,,1,"68,5 м2",1,"во двор, на улицу",3,2.8,2007,,,,,86131₽/м²,12,40 м2,,,"10,4 м2",https://domclick.ru/card/sale__flat__2058043385,2,,Свободная продажа,,Кирпичный,,,,,
,,,,Железобетонный,,3130000₽,,,1,40 м2,,,13,,2024,,,,,78250₽/м²,17,15 м2,,,10 м2,https://domclick.ru/card/sale__flat__2058908434,1,,Свободная продажа,,Панельный,,,Центральное,,
